date_key,product_key,location_key,daily_unit_sales,daily_unit_sales_kg,daily_unit_returns_kg,stock_available,stock_out_flag,delivery_time_hours,points_of_distribution,previous_year_sales,previous_year_returns,previous_year_pod,price_per_unit,revenue
20221211,6,5,843,345.96,69,2654,0,11,184,923,60,176,300,252900
20220218,5,25,1591,687.83,24,1581,0,4,107,1664,18,115,100,159100
20220228,7,21,1777,842.98,51,2614,0,5,196,1681,43,60,20,35540
20220619,1,15,1003,517.07,17,1704,0,11,153,894,18,109,25,25075
20220707,7,11,967,560.32,11,2698,1,4,178,821,14,150,20,19340
20220928,3,26,1427,815.35,13,2347,0,10,65,1399,11,168,60,85620
20220709,6,27,1512,906.32,39,2329,0,10,177,1586,45,74,300,453600
20220624,1,6,630,278.43,77,1026,0,8,58,615,82,183,25,15750
20220220,7,6,710,400.67,53,2699,0,11,180,735,48,70,20,14200
20221230,4,4,655,280.6,71,840,0,5,107,681,57,72,70,45850
20220224,1,28,1699,690.17,26,2753,0,11,96,1633,31,197,25,42475
20220901,1,29,623,276.06,72,2990,0,6,106,607,62,95,25,15575
20221116,1,30,959,508.42,18,1445,0,10,140,962,5,95,25,23975
20220511,7,31,1049,423.38,71,1223,0,5,151,935,60,132,20,20980
20221103,4,32,1446,758.09,37,2459,0,7,68,1372,28,191,70,101220
20220515,3,2,1643,661.28,45,2936,0,8,127,1522,47,117,60,98580
20220121,4,33,1487,860.17,11,2078,0,8,111,1475,6,61,70,104090
20221125,6,34,1558,785.68,73,2148,0,8,186,1591,81,114,300,467400
20220616,3,15,1531,716.76,56,1619,0,11,70,1581,61,69,60,91860
20221001,5,32,1004,428.04,60,1571,0,8,116,1019,59,140,100,100400
20220330,3,12,1450,580.85,47,1579,0,6,185,1340,48,142,60,87000
20221112,7,17,1252,552.63,49,1500,0,9,162,1163,52,92,20,25040
20220114,4,35,903,400.66,48,2186,0,4,58,916,54,98,70,63210
20220830,7,9,1052,541.73,30,2374,0,6,196,1014,28,176,20,21040
20220922,4,36,500,225.82,28,2752,0,10,57,448,25,136,70,35000
20221212,1,37,1504,678.81,58,2147,0,10,131,1376,50,133,25,37600
20220222,5,6,1636,873.16,24,904,0,6,124,1532,25,191,100,163600
20221206,7,14,709,374.05,48,1428,1,9,180,666,51,51,20,14180
20220402,2,9,1604,826.77,44,2180,0,4,176,1482,30,72,30,48120
20220921,3,24,1931,928.39,37,1174,0,9,171,2002,36,147,60,115860
20220204,5,15,1974,959.75,37,1159,1,11,106,1957,44,173,100,197400
20220725,4,32,1178,504.8,65,2391,0,10,197,1260,66,195,70,82460
20220322,2,33,1942,1105.83,20,2215,0,7,114,2012,27,162,30,58260
20220219,7,31,1957,821.67,39,2837,1,6,100,2008,44,108,20,39140
20221226,4,38,624,368.9,39,2531,1,4,162,696,37,108,70,43680
20220102,3,27,930,554.3,26,2732,0,9,102,908,14,180,60,55800
20220223,2,38,1877,879.35,60,1803,0,6,152,1910,52,178,30,56310
20220416,6,39,1803,866.08,22,2951,0,11,68,1739,26,134,300,540900
20220917,4,40,1019,592.43,14,2846,1,8,147,1109,3,96,70,71330
20221106,7,41,1663,706.72,30,1776,0,4,95,1514,29,119,20,33260
20220710,1,14,1382,791.48,35,1494,0,9,124,1322,22,192,25,34550
20220806,3,24,1214,593.27,60,2510,0,7,184,1206,68,97,60,72840
20220213,2,42,1010,464.28,54,1639,0,9,116,924,60,62,30,30300
20220611,6,10,1442,775.14,40,1482,1,5,91,1479,30,84,300,432600
20220721,5,16,1195,716.48,66,912,0,9,184,1229,76,85,100,119500
20220927,4,22,524,307.81,10,1000,0,7,84,431,13,72,70,36680
20221217,1,26,1788,824.67,55,1709,0,8,83,1844,47,172,25,44700
20221031,5,6,857,478.98,75,1249,0,11,160,799,84,88,100,85700
20220928,3,9,1974,977.7,64,2493,1,8,196,2022,56,106,60,118440
20220803,5,43,1804,1034.39,40,2279,0,7,163,1891,33,159,100,180400
20220909,3,39,1511,647.58,33,2294,0,7,168,1453,30,83,60,90660
20220709,2,44,1349,677.5,58,2609,0,9,136,1362,51,57,30,40470
20221023,4,2,889,419.65,53,936,0,7,149,908,49,100,70,62230
20220801,1,16,640,267.43,58,1270,0,4,109,522,44,169,25,16000
20220727,4,45,1450,860.15,32,1322,1,10,74,1457,34,70,70,101500
20220825,6,35,1478,697.63,21,2127,0,11,90,1480,17,195,300,443400
20221204,4,46,726,413.87,22,1448,0,6,103,643,11,149,70,50820
20220222,6,47,1120,478.6,54,2627,0,7,119,985,53,198,300,336000
20221007,1,48,1039,475.32,63,2348,0,9,103,1002,53,93,25,25975
20220805,4,25,552,258.04,55,2805,0,9,187,490,41,180,70,38640
20220909,3,14,610,245.21,26,970,1,5,139,481,36,133,60,36600
20220707,2,22,618,263.46,25,2795,0,8,183,584,15,82,30,18540
20220210,1,34,554,293.23,66,1106,0,6,57,430,54,94,25,13850
20220606,4,29,1737,1020.45,13,2049,0,10,173,1623,12,53,70,121590
20220115,6,21,1627,769.79,14,2394,0,10,155,1543,0,187,300,488100
20221028,4,7,1006,530.35,20,1806,0,6,114,1058,16,101,70,70420
20220306,2,15,1625,874.25,63,2576,1,7,101,1621,63,103,30,48750
20221211,6,45,1445,856.11,24,2732,0,6,55,1453,27,157,300,433500
20221123,5,18,1684,710.28,59,1379,1,11,113,1598,45,125,100,168400
20220109,5,9,1662,735.92,27,2801,1,7,157,1648,36,66,100,166200
20221210,5,49,1118,483.35,75,807,0,7,143,1154,75,88,100,111800
20220509,4,40,1092,514.78,53,2551,0,11,115,1138,56,140,70,76440
20220516,4,4,1289,746.24,36,1996,0,4,83,1147,46,138,70,90230
20220304,1,36,1104,448.8,76,1073,1,8,140,1123,83,163,25,27600
20220519,5,15,1581,644.71,29,2713,1,9,147,1434,27,117,100,158100
20220322,4,5,1208,562.04,20,1932,0,10,120,1155,23,182,70,84560
20220612,1,50,904,398.61,32,1020,0,11,196,893,36,95,25,22600
20221016,4,51,1423,685.72,24,839,0,7,73,1500,25,53,70,99610
20220918,4,45,789,436.4,32,1624,0,7,103,820,38,106,70,55230
20220819,4,27,1179,525.93,47,2514,0,7,125,1242,39,190,70,82530
20220210,3,34,1866,1012.35,59,2234,0,4,175,1727,55,167,60,111960
20220128,2,52,1003,510.43,63,2879,0,10,58,895,63,59,30,30090
20220515,5,15,1225,521.84,77,2656,0,6,85,1245,79,176,100,122500
20220720,7,10,1611,941.14,24,1206,0,8,175,1655,18,122,20,32220
20221124,1,36,1664,950.66,15,1360,0,10,158,1582,25,130,25,41600
20220925,6,53,1462,592.17,41,2707,0,9,107,1530,38,181,300,438600
20220202,3,29,1227,621.91,38,1991,0,4,76,1248,43,62,60,73620
20220217,7,29,1763,760.65,71,1251,0,5,169,1842,63,106,20,35260
20220303,7,37,1339,758.63,65,1394,0,7,121,1316,75,162,20,26780
20220804,4,51,1535,901.04,62,1316,0,9,118,1518,49,108,70,107450
20221020,7,33,1556,725.86,59,2273,0,10,82,1516,50,184,20,31120
20220409,4,54,714,427.02,28,2615,0,5,154,758,31,111,70,49980
20220621,6,34,701,417.65,75,1480,0,5,120,671,76,147,300,210300
20221226,6,21,1868,1109.05,11,2762,0,6,69,1750,13,197,300,560400
20220802,4,55,1631,881.98,75,1957,0,5,122,1507,70,119,70,114170
20220204,6,14,1244,733.15,68,1977,0,8,128,1286,57,97,300,373200
20220815,6,15,1416,580.7,31,2272,0,7,56,1468,33,132,300,424800
20220411,3,56,1943,816.8,55,1169,0,5,134,1917,41,160,60,116580
20220511,7,49,1794,799.83,36,842,0,5,88,1782,26,160,20,35880
20220914,2,48,1959,813.83,72,1601,0,8,111,2002,82,124,30,58770
20220105,6,37,837,469.57,57,1074,0,10,126,690,54,180,300,251100
20220806,3,51,1369,799.71,17,1189,0,10,162,1282,27,86,60,82140
20220912,4,30,1148,603.9,65,1162,0,9,163,1142,71,128,70,80360
20221225,7,12,591,260.17,72,1055,0,6,103,604,79,178,20,11820
20221010,2,20,1322,773.11,47,2164,0,8,141,1402,40,158,30,39660
20220726,4,53,802,370.49,44,1545,0,8,110,840,35,137,70,56140
20220115,5,34,652,303.41,64,2825,0,5,88,673,74,162,100,65200
20221212,7,16,1736,815.53,18,886,0,10,106,1710,7,78,20,34720
20220211,1,41,1762,856.19,22,1396,0,9,157,1845,11,82,25,44050
20220628,7,19,1937,860.94,41,2536,0,6,96,1792,33,167,20,38740
20220304,2,44,1905,968.08,18,2759,0,4,147,1763,16,178,30,57150
20221218,4,44,1429,713.27,57,1094,0,5,66,1459,55,118,70,100030
20220819,5,48,804,446.46,67,1328,1,6,180,698,57,75,100,80400
20220829,1,12,1903,965.07,34,1304,1,4,157,1825,23,132,25,47575
20220221,4,29,1158,649.3,12,1183,0,11,185,1237,17,153,70,81060
20220406,4,6,791,375.8,66,1331,1,6,116,809,74,113,70,55370
20220810,1,17,539,220.49,64,2943,0,6,179,578,58,186,25,13475
20220819,2,39,847,468.65,70,1049,0,11,111,909,61,148,30,25410
20220825,4,32,984,523.98,73,1019,0,5,194,941,61,180,70,68880
20220523,1,56,1357,647.62,71,1415,0,11,179,1364,70,187,25,33925
20220620,1,19,799,450.93,11,1457,1,4,177,838,16,110,25,19975
20220129,6,27,1652,932.97,37,2409,0,10,181,1529,25,168,300,495600
20220205,2,36,1337,604.21,42,1893,0,11,128,1433,29,95,30,40110
20220113,3,57,1189,552.95,15,1254,1,9,195,1288,18,124,60,71340
20220609,1,5,1705,1022.19,47,2498,0,11,62,1693,55,198,25,42625
20221123,3,54,998,523.7,44,1791,0,10,148,1096,39,134,60,59880
20220706,4,58,1648,804.98,34,2921,0,4,69,1701,26,136,70,115360
20220831,4,36,1150,689,64,2385,0,4,63,1048,64,195,70,80500
20220327,5,38,1678,883.18,63,2248,0,4,199,1696,73,113,100,167800
20221011,1,10,1338,657,74,892,1,5,197,1261,69,168,25,33450
20220307,1,26,1582,802.37,21,889,0,8,115,1646,15,115,25,39550
20220619,3,31,1961,796.85,49,1095,0,4,177,1978,40,193,60,117660
20220214,7,7,1441,633.08,16,2004,0,11,122,1379,8,86,20,28820
20220303,5,59,1757,724.73,66,2132,1,4,66,1794,67,143,100,175700
20220514,1,37,1424,704.87,59,849,0,5,101,1510,65,133,25,35600
20221011,7,22,1083,480.79,65,1883,0,7,98,1020,63,85,20,21660
20220128,6,10,600,343.76,13,830,0,7,95,605,19,59,300,180000
20220418,1,9,1947,810.84,33,1790,0,10,155,1867,20,58,25,48675
20220213,7,49,1289,686.83,57,2953,0,10,62,1309,59,89,20,25780
20221206,1,21,1159,657.9,72,2150,0,11,67,1116,60,88,25,28975
20221013,4,35,686,386.61,71,2213,0,4,139,773,60,181,70,48020
20221127,3,18,1595,910.65,41,852,0,7,180,1459,30,199,60,95700
20220508,3,4,1107,650.67,71,2591,0,4,108,1177,77,101,60,66420
20221214,3,59,1868,1073.75,50,1182,0,8,94,1842,51,163,60,112080
20220819,2,53,775,364.44,63,2151,1,8,72,702,66,57,30,23250
20220709,5,45,814,401.51,68,2296,0,10,51,669,61,194,100,81400
20220813,4,50,1809,785.36,22,2804,0,11,104,1829,25,165,70,126630
20221010,1,38,642,263.25,61,2515,0,4,101,606,50,160,25,16050
20220501,1,44,1524,845.33,18,1816,0,11,61,1560,18,91,25,38100
20220426,2,44,1382,618.29,52,1532,1,11,105,1349,41,151,30,41460
20220821,2,4,992,479.85,63,1616,0,5,112,989,55,152,30,29760
20220916,3,30,1167,611.42,15,1092,1,7,92,1104,13,101,60,70020
20221225,7,16,1811,775.92,69,2519,0,4,97,1872,79,163,20,36220
20220717,5,60,1399,655.13,25,1336,1,6,167,1266,27,75,100,139900
20220517,7,3,1415,797.33,19,2777,1,4,64,1353,18,154,20,28300
20221114,5,37,1805,1045.3,43,2294,0,11,161,1777,32,138,100,180500
20220614,3,36,1169,639.43,58,1683,0,10,159,1090,54,95,60,70140
20220813,2,41,1548,823.12,14,1329,0,6,153,1498,22,89,30,46440
20221103,5,48,1765,740.85,61,2516,0,11,151,1773,67,122,100,176500
20220822,7,32,1251,543.57,74,1690,0,11,174,1170,76,152,20,25020
20220621,5,39,1197,485.32,43,1696,0,11,150,1187,53,114,100,119700
20220601,4,20,1260,523.26,63,2828,0,9,66,1344,52,139,70,88200
20221111,7,54,1156,649.3,54,1068,0,8,109,1251,60,107,20,23120
20220609,5,38,906,418.9,43,1189,0,11,195,875,37,63,100,90600
20220406,5,58,1985,1101.11,16,1803,0,6,196,1938,23,171,100,198500
20220821,4,35,931,539.84,33,1873,0,11,190,834,30,161,70,65170
20220629,1,31,962,465.45,77,2107,0,5,80,1060,66,185,25,24050
20220423,2,61,1291,573.32,52,1675,1,5,174,1335,47,79,30,38730
20221114,4,38,1981,962.16,27,970,1,10,143,1948,14,171,70,138670
20220221,5,25,993,447.08,13,2247,0,4,55,982,0,172,100,99300
20220925,2,31,946,439.77,20,1608,0,11,84,1025,30,199,30,28380
20221022,1,43,1258,618.85,12,2353,0,4,122,1336,13,132,25,31450
20220423,1,61,624,301.67,78,2817,0,11,74,651,75,107,25,15600
20220411,3,4,1105,575.14,50,2601,0,6,134,1057,39,184,60,66300
20220423,6,12,1002,484.89,73,2901,0,11,67,876,63,139,300,300600
20220322,7,14,1155,686.95,66,1626,0,10,121,1249,62,168,20,23100
20220706,7,13,1074,477.24,22,1264,0,8,57,1106,17,85,20,21480
20220423,4,32,1295,572.68,56,1769,0,7,173,1271,62,78,70,90650
20220102,1,16,694,307.62,56,863,0,10,78,647,42,119,25,17350
20220510,6,34,1330,752.08,11,844,0,5,190,1260,0,149,300,399000
20220808,1,62,1033,460.72,61,2738,0,7,128,949,52,58,25,25825
20220223,5,36,1811,754.11,14,2659,0,5,126,1870,16,155,100,181100
20221209,3,19,634,326.87,28,2012,0,10,81,669,19,187,60,38040
20220812,3,43,629,369.15,69,2976,0,8,53,659,65,99,60,37740
20220813,1,59,1407,778.17,74,2209,0,7,157,1489,74,89,25,35175
20220506,7,53,1317,775.43,76,1455,0,9,79,1334,81,77,20,26340
20220510,2,49,1619,889.5,69,1353,0,9,71,1535,60,156,30,48570
20220222,2,50,1806,870.99,43,1387,0,5,145,1658,52,69,30,54180
20220621,7,40,1562,679.36,75,1722,0,4,127,1469,71,61,20,31240
20220806,6,45,1112,578.44,33,1473,1,7,199,965,38,85,300,333600
20220609,2,53,1943,1102.66,70,947,1,6,158,1921,65,198,30,58290
20220717,2,32,1627,831.91,79,2534,0,10,93,1583,81,103,30,48810
20220904,7,27,994,525.81,14,2714,0,6,146,850,22,66,20,19880
20221120,5,54,975,564.41,63,2468,0,9,144,1054,72,118,100,97500
20220722,1,32,1007,419.12,10,2758,1,11,103,890,5,148,25,25175
20220703,2,44,692,344.48,62,1651,0,8,161,614,72,180,30,20760
20220503,1,31,687,371.06,78,2502,1,9,68,686,76,190,25,17175
20220912,4,10,687,306.75,61,2835,0,5,164,762,49,92,70,48090
20221021,5,5,1600,827.39,29,2602,0,6,60,1663,38,68,100,160000
20221007,2,58,1971,1107.67,51,2266,0,10,169,2065,51,152,30,59130
20221121,6,21,1840,940.78,34,2452,0,8,137,1733,20,62,300,552000
20220408,1,33,1100,578.19,63,2303,0,9,171,1190,52,72,25,27500
20220717,3,4,1246,517.52,35,1597,0,6,142,1174,31,159,60,74760
20220828,3,27,1740,834.14,56,2672,1,4,123,1703,42,184,60,104400
20220524,2,48,880,470.91,61,2339,0,6,53,980,65,84,30,26400
20220407,7,15,1419,680.07,59,1307,1,6,96,1333,66,66,20,28380
20220720,3,26,803,397.78,13,2955,1,7,67,814,3,50,60,48180
20220504,1,54,882,494.22,15,818,0,10,150,953,1,82,25,22050
20220706,2,10,1752,730.98,36,2582,0,6,166,1838,45,166,30,52560
20221122,7,37,671,319.83,12,2244,1,7,144,650,12,117,20,13420
20221215,6,57,1390,710.2,77,1182,0,4,134,1436,72,144,300,417000
20220916,2,62,1935,782.14,60,2377,0,6,123,1997,56,172,30,58050
20220528,4,58,1910,783.54,19,1388,1,6,185,2003,7,171,70,133700
20220909,4,5,839,347.54,13,2156,1,4,109,862,11,120,70,58730
20221212,2,34,514,251.98,50,2314,0,11,162,398,43,61,30,15420
20220527,3,12,1868,809.25,35,933,0,6,74,1951,33,92,60,112080
20220528,2,11,1157,539.43,69,2495,0,11,117,1212,55,116,30,34710
20221218,3,59,1421,595.96,33,1941,0,5,115,1320,21,94,60,85260
20220718,5,1,1893,994.86,72,1970,1,8,75,1756,69,167,100,189300
20221104,7,9,1056,551.71,74,2673,0,7,141,969,84,196,20,21120
20220508,6,28,1390,594.92,58,2306,0,9,126,1365,46,103,300,417000
20220208,1,3,1161,501.26,37,884,0,8,114,1128,25,164,25,29025
20221204,5,30,563,290.01,52,2740,0,10,140,619,51,137,100,56300
20221226,5,50,1826,746.22,60,2170,0,8,106,1896,50,139,100,182600
20220509,2,52,795,368.45,54,2427,0,4,74,838,47,90,30,23850
20220924,4,55,633,372.39,47,2326,0,4,68,588,41,165,70,44310
20220531,2,17,1392,633.51,44,1307,0,5,138,1349,53,196,30,41760
20221025,7,12,1222,628.63,25,1280,0,7,153,1140,18,83,20,24440
20220409,6,25,844,441.48,15,2895,0,10,59,915,1,67,300,253200
20220920,5,60,1455,776.64,24,1960,0,4,65,1413,32,170,100,145500
20220909,5,1,1592,918.88,14,1737,0,8,144,1588,17,116,100,159200
20220524,4,16,690,400.64,18,1987,0,7,86,717,5,122,70,48300
20221212,1,41,807,422.93,11,2655,0,10,138,877,4,69,25,20175
20220422,4,43,1247,656.43,11,2405,0,6,131,1273,0,133,70,87290
20220301,7,60,1715,969.05,68,1016,0,6,63,1639,60,151,20,34300
20220102,3,22,966,543.35,25,2555,0,6,91,1050,23,56,60,57960
20221031,2,21,1678,902.87,43,2981,0,4,130,1605,30,124,30,50340
20220911,7,18,1906,764.36,37,1487,0,11,152,1785,40,69,20,38120
20220520,2,44,1635,849.49,68,2023,0,7,84,1613,76,153,30,49050
20220206,2,59,782,412.28,53,2307,0,6,176,674,61,182,30,23460
20220609,7,17,723,356.99,56,2191,0,10,144,807,43,165,20,14460
20220109,3,55,1162,475.77,59,2405,0,5,85,1016,62,128,60,69720
20220821,2,24,886,491.82,56,1151,0,11,165,746,54,50,30,26580
20220409,2,25,1045,431.19,40,2180,0,11,143,1053,31,134,30,31350
20220527,4,30,1968,1042.55,31,1738,0,5,179,1937,21,143,70,137760
20221031,1,28,1913,786.14,78,2311,0,5,115,2005,78,149,25,47825
20220727,5,56,1865,1019.36,31,2432,0,4,176,1869,41,181,100,186500
20220511,7,51,1783,969.49,36,1928,0,7,119,1822,31,83,20,35660
20220601,3,20,1373,671.17,22,1094,0,4,128,1328,10,79,60,82380
20220223,7,32,1261,626.27,67,2441,0,9,117,1124,61,101,20,25220
20220430,3,8,1381,554.33,30,2667,1,11,177,1462,17,121,60,82860
20220610,5,11,1588,771.18,33,1750,0,9,79,1468,22,175,100,158800
20220426,3,37,1936,889.65,74,1072,0,10,159,1853,63,105,60,116160
20220316,4,21,1068,443.83,10,978,0,8,65,933,-1,75,70,74760
20220423,2,29,1347,755.12,73,2955,0,9,127,1432,77,145,30,40410
20220414,4,20,1158,579.77,19,2661,0,4,133,1130,8,107,70,81060
20221206,4,13,1721,702.1,27,2233,0,10,93,1795,37,85,70,120470
20220911,2,23,1120,479.63,73,2390,0,11,136,1183,61,127,30,33600
20220815,4,37,1677,821.82,76,2879,0,6,184,1673,86,110,70,117390
20220422,6,61,769,434.46,15,1469,0,9,146,796,7,100,300,230700
20220409,3,44,555,243.44,50,1297,0,10,85,542,54,62,60,33300
20220602,5,13,1794,1023.89,69,900,0,8,90,1722,56,159,100,179400
20221215,2,24,1643,787.74,26,2843,0,4,117,1663,20,166,30,49290
20221204,7,38,1317,670.79,49,1494,0,5,158,1273,42,91,20,26340
20220713,2,8,995,575.16,54,956,0,5,197,976,41,96,30,29850
20221106,5,45,606,348.16,18,2771,0,5,141,530,11,180,100,60600
20220612,1,42,949,461.38,28,1442,0,10,148,850,19,149,25,23725
20220727,3,35,1569,643.69,25,1941,0,5,141,1536,20,197,60,94140
20220618,6,63,1859,923.81,52,1100,0,6,117,1806,52,51,300,557700
20220610,1,42,897,485.69,39,2551,0,7,75,849,34,115,25,22425
20220309,3,6,1245,536.13,32,2522,1,10,61,1306,41,149,60,74700
20221016,4,21,577,288.18,43,1077,0,7,172,432,33,100,70,40390
20221004,1,34,1594,665.7,28,1615,0,8,60,1552,36,171,25,39850
20221031,2,28,1080,474.44,62,1977,0,8,170,1170,67,121,30,32400
20220515,3,10,971,490.86,23,1345,0,5,194,927,31,164,60,58260
20220714,4,50,1279,608.74,13,1013,1,5,68,1250,12,130,70,89530
20220508,7,47,829,431.49,15,1825,0,6,173,877,22,59,20,16580
20220202,4,21,968,532.39,17,1653,0,5,69,853,5,184,70,67760
20220625,3,26,1404,803.79,35,885,0,10,171,1371,29,100,60,84240
20220122,6,3,741,440.52,33,2071,0,4,175,803,20,82,300,222300
20220826,2,14,1966,1115.69,65,2639,0,5,159,1818,56,81,30,58980
20220607,2,46,524,254.14,32,1142,0,11,82,412,41,67,30,15720
20220207,6,18,1186,629.48,44,2935,0,9,102,1149,32,188,300,355800
20220818,5,57,693,348.89,45,1540,0,5,72,740,40,114,100,69300
20221231,2,7,639,277.57,43,2959,0,9,62,657,51,139,30,19170
20220220,1,30,1115,530.07,11,2081,0,10,75,998,-2,65,25,27875
20220921,5,48,1674,849.5,69,1992,0,5,192,1669,56,176,100,167400
20221010,4,21,1563,773.42,24,2858,0,8,134,1424,22,172,70,109410
20220127,4,62,1667,669.73,77,2425,0,11,146,1548,79,61,70,116690
20220814,7,36,1449,862.72,63,2668,0,8,161,1492,60,124,20,28980
20221004,5,57,1565,822.4,62,1567,1,6,170,1523,67,192,100,156500
20221013,6,18,720,429.54,63,1647,0,4,147,657,69,58,300,216000
20220407,7,29,1072,498.74,27,904,0,8,77,1003,22,125,20,21440
20221011,6,44,1592,764.15,10,1655,0,5,139,1644,15,199,300,477600
20221113,5,37,1655,971.15,77,1046,0,10,160,1588,72,100,100,165500
20221031,4,39,1188,698.28,66,1277,0,7,162,1203,59,173,70,83160
20220527,1,52,1316,568.1,64,1006,0,11,198,1210,58,86,25,32900
20220104,3,17,832,382.36,27,818,0,10,166,865,36,118,60,49920
20220204,4,43,554,320.34,51,2345,0,7,177,476,41,185,70,38780
20220711,2,47,1716,702.55,39,2501,0,6,99,1656,37,127,30,51480
20220218,7,35,1515,904.97,71,2942,1,4,120,1430,61,141,20,30300
20220117,5,17,626,307.09,65,1493,1,8,169,706,58,106,100,62600
20220621,7,45,518,247.84,74,1351,0,10,104,407,65,158,20,10360
20220808,7,3,1707,713.98,75,1502,0,6,69,1735,69,76,20,34140
20220607,1,16,1442,788.24,72,1222,1,9,130,1504,79,181,25,36050
20220215,1,4,703,295.79,38,2660,0,4,61,594,32,79,25,17575
20220106,2,2,843,469.01,32,1719,0,6,76,733,30,125,30,25290
20220409,2,52,1844,926.09,58,1969,0,11,76,1725,51,131,30,55320
20220821,3,37,927,439.78,63,2225,0,6,186,827,60,84,60,55620
20220206,5,14,1093,507.81,39,1973,0,11,197,1069,44,104,100,109300
20221007,2,59,567,307.45,10,2181,0,10,195,474,11,157,30,17010
20221215,3,62,621,337.33,77,2842,0,10,94,664,69,175,60,37260
20221029,3,55,917,443.35,24,2239,0,9,135,944,16,116,60,55020
20220630,5,57,1008,580.14,57,2352,0,6,118,885,58,186,100,100800
20220405,1,54,1216,718.57,30,1058,0,8,103,1282,17,157,25,30400
20220409,3,26,972,522.4,77,2567,0,4,51,824,75,115,60,58320
20220707,6,18,1319,607.82,52,1634,0,5,189,1204,58,133,300,395700
20220426,4,7,1536,755.09,66,2887,0,11,84,1634,53,54,70,107520
20220710,6,46,1229,619.11,65,1638,0,9,90,1139,56,189,300,368700
20220910,7,25,1210,655.24,26,1914,0,9,179,1097,17,138,20,24200
20220610,1,42,1858,913.53,46,2980,0,9,167,1842,52,113,25,46450
20220913,1,30,1149,510.23,51,2863,0,6,147,1094,60,143,25,28725
20221119,1,59,1180,502.46,78,2682,0,8,177,1274,79,96,25,29500
20220508,5,24,1064,631.91,47,1023,0,10,196,1028,36,174,100,106400
20220118,3,58,1517,846.21,48,828,1,4,151,1432,48,70,60,91020
20221008,7,46,1234,696.43,55,1137,1,10,148,1300,59,178,20,24680
20220811,7,37,780,440.92,76,1291,0,5,118,872,85,59,20,15600
20220223,4,13,1637,765.54,45,1488,1,8,139,1508,44,75,70,114590
20220227,2,23,1784,763.44,24,2894,1,11,104,1650,14,115,30,53520
20221119,6,56,937,532,47,2730,0,4,166,839,52,70,300,281100
20221226,6,1,699,327.47,73,2489,0,9,129,764,64,158,300,209700
20220623,4,33,1385,567.57,32,1477,0,8,122,1237,19,139,70,96950
20221007,5,46,1487,679.2,14,1881,0,4,122,1471,24,136,100,148700
20220424,7,25,1341,691.62,63,1364,0,5,131,1355,72,199,20,26820
20221015,2,53,1304,603.53,33,2720,0,8,154,1166,41,95,30,39120
20221208,4,53,1322,532.67,73,2281,0,7,65,1364,67,193,70,92540
20220531,5,4,1794,1044.69,20,2660,0,5,124,1685,29,152,100,179400
20220507,7,61,796,458.3,68,2692,1,5,176,698,75,69,20,15920
20220604,4,53,997,492.33,45,1346,0,9,85,849,33,129,70,69790
20220930,3,3,1094,578.38,78,2195,0,7,117,1159,69,195,60,65640
20220414,5,61,565,237.61,53,1401,0,11,122,443,50,98,100,56500
